SST
10
3
5
6
5
8
7
5
7
10
8
8
4
5
6
6
6
5
2
8
7
8
5
11
8
10
7
6
9
12
5
8
10
7
4
7
10
7
8
9
10
8
7
8
3
6
10
10
4
4
2
7
11
14
10
9
14
13
13
10
11
12
9
7
11
12
10
10
12
12
13
12
11
10
6
9
7
6
6
5
6
8
4
8
7
7
3
7
7
2
7
