SST,RMET,IFG_CAT12,MFG_CAT12,OFG_CAT12,IPL_CAT12,PCu_CAT12,MTG_CAT12,IFG_FS,MFG_FS,OFG_FS,IPL_FS,PCu_FS,MTG_FS
2,27,3.0462,3.1857,3.1072,3.02105,3.0358,3.5544,2.89,2.8395,2.7915,2.865,2.6535,3.056
7,30,3.0187,2.986,3.06965,2.9164,2.8378,3.2084,2.83,2.7685,2.772,2.753,2.475,2.864
6,30,3.0354,3.0856,3.3726,2.968,2.89925,3.2189,2.7275,2.7345,2.8885,2.7105,2.629,3.0035
9,25,3.0441,3.0053,3.2029,2.98895,2.97345,3.28055,2.778,2.799,2.779,2.712,2.687,3.0415
7,25,2.76425,2.88595,3.17925,2.7161,2.82685,3.00575,2.69,2.5375,2.779,2.4715,2.5075,2.723
6,27,3.00925,3.10445,3.2566,2.9207,3.13535,3.26665,2.7685,2.6,2.86,2.6845,2.7035,3.0295
6,27,3.0032,3.039,3.1655,2.9034,2.8738,3.25055,2.676,2.6865,2.5745,2.7175,2.5555,3.01
5,17,3.1803,3.1936,3.3884,3.0468,3.0073,3.2987,3.106,2.8575,3.135,2.976,2.7395,3.312
6,27,3.1204,3.1815,3.4657,3.06195,3.0017,3.32605,2.774,2.7175,3.007,2.7535,2.6325,3.148
8,23,2.9963,2.9025,3.06195,3.0306,2.922,3.36795,2.712,2.572,2.6745,2.82,2.599,3.229
4,32,3.1871,3.3916,3.40435,3.1593,3.16435,3.599,3.013,2.8855,2.987,2.9425,2.7985,3.188
8,27,2.90645,3.00805,3.2041,2.99375,2.9092,3.35175,2.622,2.597,2.718,2.777,2.5165,3.083
7,23,2.94555,3.06855,3.3533,2.97465,2.797,3.2361,2.713,2.7965,2.993,2.8315,2.5255,3.069
7,24,3.1439,3.1236,3.367,3.07405,3.03365,3.30185,2.918,2.8705,2.8225,2.91,2.664,3.2145
3,21,2.8393,2.94055,3.09715,2.85245,2.85585,3.1456,2.552,2.689,2.7665,2.5215,2.582,2.969
7,25,3.0152,3.09685,3.52405,3.27785,2.93285,3.35555,2.574,2.663,2.995,2.9735,2.5895,3.0815
7,30,2.73465,2.901,3.124,2.74845,2.71285,2.91795,2.565,2.6635,2.662,2.524,2.4555,2.7845
2,32,3.16415,3.1108,3.56205,3.16385,3.15425,3.551,2.762,2.7225,2.8955,2.8425,2.7505,3.187
7,27,2.89885,3.0303,3.16195,2.9737,3.0011,3.33205,2.637,2.6135,2.6935,2.877,2.6495,3.121
